feature,importance
EXPR_PC9,0.10297385
MUT_USH2A,0.081493
CNV_PC15,0.07380701
MUT_PCDH15,0.06902754
EXPR_PC37,0.06729482
CNV_PC3,0.06702765
CNV_PC5,0.065408856
EXPR_PC24,0.065119274
EXPR_PC14,0.06413282
EXPR_PC4,0.062399194
EXPR_PC1,0.059699044
MUT_HYDIN,0.05919358
CNV_PC30,0.055659242
CNV_PC18,0.055452097
MUT_FBN2,0.0544926
EXPR_PC50,0.052559488
EXPR_PC33,0.052095048
EXPR_PC38,0.048463523
MUT_PKHD1,0.04731328
MUT_ANK2,0.045756876
MUT_COL11A1,0.044751715
MUT_LAMA1,0.044586193
MUT_CNTNAP5,0.044223934
MUT_PEG3,0.04353404
MUT_DNAH11,0.04187082
MUT_AHNAK2,0.040652208
EXPR_PC46,0.03947769
EXPR_PC20,0.039016478
MUT_TP53,0.038687624
EXPR_PC49,0.03846062
MUT_CSMD1,0.03773934
EXPR_PC30,0.037036862
MUT_FAM135B,0.035800554
MUT_PCDH11X,0.034951173
MUT_MDN1,0.034903064
EXPR_PC39,0.034743868
MUT_RYR2,0.03451862
EXPR_PC22,0.03424049
MUT_DNAH10,0.034149546
CNV_PC23,0.03385771
MUT_KMT2D,0.03293883
EXPR_PC42,0.032837376
MUT_PKHD1L1,0.032759476
MUT_DNAH9,0.03209808
MUT_COL22A1,0.031984255
MUT_XIRP2,0.03184856
EXPR_PC27,0.03177016
CNV_PC4,0.031347033
EXPR_PC17,0.03084111
CNV_PC16,0.030832984
MUT_BRAF,0.03035634
MUT_MXRA5,0.030307977
MUT_MUC5B,0.030171664
EXPR_PC34,0.030031249
CNV_PC1,0.03001088
MUT_PLEC,0.02990808
EXPR_PC47,0.029866979
MUT_KRAS,0.029546082
EXPR_PC31,0.029484961
MUT_MUC17,0.029396424
MUT_RYR3,0.02907355
MUT_HMCN1,0.02864242
MUT_SYNE2,0.02863703
MUT_NAV3,0.028241368
MUT_IDH1,0.028081087
CNV_PC28,0.027901767
MUT_HERC2,0.027832836
MUT_ABCA13,0.027520424
CNV_PC22,0.027443042
MUT_SACS,0.027179657
MUT_APOB,0.026697543
CNV_PC7,0.026673986
MUT_FLG,0.026586805
MUT_SI,0.026583433
MUT_NF1,0.026287382
CNV_PC10,0.025168842
MUT_LAMA2,0.024874507
MUT_GPR112,0.024798669
CNV_PC19,0.02432317
MUT_CUBN,0.02422841
