gene,abs_weight,raw_weight,direction,modality,factor,factor_avg_shap,gene_shap_contrib
PRSS3,0.1912901405059899,0.1912901405059899,up,expression,Factor8,0.2831410204178113,0.05416208557873248
FERMT1,0.1745423903756696,0.1745423903756696,up,expression,Factor8,0.2831410204178113,0.049420110517131056
VSNL1,0.1715952926796374,0.1715952926796374,up,expression,Factor8,0.2831410204178113,0.04858566626820553
PTPRH,0.1642369470398317,0.1642369470398317,up,expression,Factor8,0.2831410204178113,0.04650221677516398
ATP10B,0.164199176895635,0.164199176895635,up,expression,Factor8,0.2831410204178113,0.046491522497994806
PI3,0.1590545881732617,0.1590545881732617,up,expression,Factor8,0.2831410204178113,0.04503487839751206
KLK6,0.1557568830085311,0.1557568830085311,up,expression,Factor8,0.2831410204178113,0.04410116279213315
HPN,0.1545800247164091,-0.1545800247164091,down,expression,Factor8,0.2831410204178113,0.04376794593441457
IL1A,0.1491640432244109,0.1491640432244109,up,expression,Factor8,0.2831410204178113,0.042234459408206214
SPRR1B,0.1455899456269345,0.1455899456269345,up,expression,Factor8,0.2831410204178113,0.0412224857673839
SERPINB5,0.1455103837760227,0.1455103837760227,up,expression,Factor8,0.2831410204178113,0.0411999585437304
CYP4F3,0.1442504784983491,0.1442504784983491,up,expression,Factor8,0.2831410204178113,0.04084322767778011
FGFBP1,0.1431654342827948,0.1431654342827948,up,expression,Factor8,0.2831410204178113,0.04053600715138962
SPRR1A,0.1374590925558851,0.1374590925558851,up,expression,Factor8,0.2831410204178113,0.03892030773197967
AKR1B10,0.1372695685237591,0.1372695685237591,up,expression,Factor8,0.2831410204178113,0.03886664570412982
GPX2,0.1367842127868465,0.1367842127868465,up,expression,Factor8,0.2831410204178113,0.03872922158551475
KRT6B,0.132668062167851,0.132668062167851,up,expression,Factor8,0.2831410204178113,0.03756377049905896
PCSK9,0.1320078336695669,0.1320078336695669,up,expression,Factor8,0.2831410204178113,0.037376832728345875
LY6D,0.1310840996111512,0.1310840996111512,up,expression,Factor8,0.2831410204178113,0.03711528572445137
LINC01133,0.1306493288765706,0.1306493288765706,up,expression,Factor8,0.2831410204178113,0.03699218429501442
PTPRZ1,0.1305446179782285,0.1305446179782285,up,expression,Factor8,0.2831410204178113,0.03696253634440897
KRT16,0.1300271500005266,0.1300271500005266,up,expression,Factor8,0.2831410204178113,0.03681601993316891
RHCG,0.129451896372453,0.129451896372453,up,expression,Factor8,0.2831410204178113,0.036653142033917105
HSD17B2,0.1292622683252898,0.1292622683252898,up,expression,Factor8,0.2831410204178113,0.036599450555143485
KRT6A,0.1286911237528487,0.1286911237528487,up,expression,Factor8,0.2831410204178113,0.03643773609809641
TP53,0.1320397659925886,0.1320397659925886,up,expression,Factor8,0.2831410204178113,0.037385874078870555
TTN,0.0905155566744669,0.0905155566744669,up,expression,Factor8,0.2831410204178113,0.02562866708049479
IDH1,0.0562136810440082,0.0562136810440082,up,expression,Factor8,0.2831410204178113,0.015916399012241858
APC,0.0497265509598645,0.0497265509598645,up,expression,Factor8,0.2831410204178113,0.01407962638063433
SYNE1,0.0460635364160352,0.0460635364160352,up,expression,Factor8,0.2831410204178113,0.013042476704889217
MUC16,0.0437610856140754,0.0437610856140754,up,expression,Factor8,0.2831410204178113,0.012390558435360511
KRAS,0.0431254420820986,0.0431254420820986,up,expression,Factor8,0.2831410204178113,0.012210581677094618
ATRX,0.0341583820972048,0.0341583820972048,up,expression,Factor8,0.2831410204178113,0.009671639162824064
KMT2D,0.0337687810445769,0.0337687810445769,up,expression,Factor8,0.2831410204178113,0.009561327123227149
DNAH5,0.0327023004263877,0.0327023004263877,up,expression,Factor8,0.2831410204178113,0.00925936271273724
BRAF,0.0324943493649034,-0.0324943493649034,down,expression,Factor8,0.2831410204178113,0.009200483236991608
FAT4,0.0324075988557028,0.0324075988557028,up,expression,Factor8,0.2831410204178113,0.009175920609294785
FAT1,0.0313656548346598,0.0313656548346598,up,expression,Factor8,0.2831410204178113,0.008880903515958433
FLG,0.0311626419783768,0.0311626419783768,up,expression,Factor8,0.2831410204178113,0.00882342224867253
OBSCN,0.0307902956044211,0.0307902956044211,up,expression,Factor8,0.2831410204178113,0.00871799571640184
NOTCH1,0.0303866167284011,0.0303866167284011,up,expression,Factor8,0.2831410204178113,0.008603697667524423
ARID1A,0.0302672436047256,0.0302672436047256,up,expression,Factor8,0.2831410204178113,0.00856989823947648
PIK3CA,0.0299736160674437,0.0299736160674437,up,expression,Factor8,0.2831410204178113,0.008486760238947713
DNAH11,0.0290285946107445,0.0290285946107445,up,expression,Factor8,0.2831410204178113,0.008219185899381176
FBXW7,0.028964003751334,0.028964003751334,up,expression,Factor8,0.2831410204178113,0.008200897577538023
CDKN2A,0.0284492781640255,0.0284492781640255,up,expression,Factor8,0.2831410204178113,0.008055157649512337
PCLO,0.0280311860034143,0.0280311860034143,up,expression,Factor8,0.2831410204178113,0.007936778608528195
LRP1B,0.0280247688472338,0.0280247688472338,up,expression,Factor8,0.2831410204178113,0.007934961648379067
CIC,0.0268070878911263,0.0268070878911263,up,expression,Factor8,0.2831410204178113,0.007590186219923454
HMCN1,0.0240224531329325,0.0240224531329325,up,expression,Factor8,0.2831410204178113,0.006801741892997556
ATP11A,0.1112656506730442,0.1112656506730442,up,expression,Factor8,0.2831410204178113,0.031503869869017466
TFDP1,0.1109939767065438,0.1109939767065438,up,expression,Factor8,0.2831410204178113,0.03142694782492159
TMEM255B,0.1109791149640918,0.1109791149640918,up,expression,Factor8,0.2831410204178113,0.03142273985599854
GAS6,0.1109791149640918,0.1109791149640918,up,expression,Factor8,0.2831410204178113,0.03142273985599854
GRK1,0.1109791149640918,0.1109791149640918,up,expression,Factor8,0.2831410204178113,0.03142273985599854
LINC00454,0.1108503229693361,0.1108503229693361,up,expression,Factor8,0.2831410204178113,0.03138627355918177
CDC16,0.1103976862346721,0.1103976862346721,up,expression,Factor8,0.2831410204178113,0.03125811353225042
MIR548AR,0.1103976862346721,0.1103976862346721,up,expression,Factor8,0.2831410204178113,0.03125811353225042
MIR4502,0.1103976862346721,0.1103976862346721,up,expression,Factor8,0.2831410204178113,0.03125811353225042
UPF3A,0.1103976862346721,0.1103976862346721,up,expression,Factor8,0.2831410204178113,0.03125811353225042
CHAMP1,0.1103976862346721,0.1103976862346721,up,expression,Factor8,0.2831410204178113,0.03125811353225042
RASA3,0.1103934176174636,0.1103934176174636,up,expression,Factor8,0.2831410204178113,0.031256904911618234
RNY1P8,0.1095268006438041,0.1095268006438041,up,expression,Factor8,0.2831410204178113,0.031011530097384884
LINC00393,0.1092614934531964,0.1092614934531964,up,expression,Factor8,0.2831410204178113,0.030936410748712038
KLF5,0.1087277163560747,0.1087277163560747,up,expression,Factor8,0.2831410204178113,0.030785276556757342
KLF12,0.1078408621270447,0.1078408621270447,up,expression,Factor8,0.2831410204178113,0.030534171745387938
LINC00392,0.1075993224987866,0.1075993224987866,up,expression,Factor8,0.2831410204178113,0.030465781968571602
PIBF1,0.1067406961854072,0.1067406961854072,up,expression,Factor8,0.2831410204178113,0.030222669638043775
GPC5,0.1020113380810324,0.1020113380810324,up,expression,Factor8,0.2831410204178113,0.028883594358449845
GPC6,0.1005007776519746,0.1005007776519746,up,expression,Factor8,0.2831410204178113,0.028455892737163653
GUCY1B2,0.0939779266202927,0.0939779266202927,up,expression,Factor8,0.2831410204178113,0.026609006040019867
SPRYD7,0.0930084388948425,0.0930084388948425,up,expression,Factor8,0.2831410204178113,0.026334504296153357
LINC00441,0.0925813805524158,0.0925813805524158,up,expression,Factor8,0.2831410204178113,0.02621358656130072
FNDC3A,0.0914509209328934,0.0914509209328934,up,expression,Factor8,0.2831410204178113,0.02589350707108802
RCBTB2,0.0912744651536492,0.0912744651536492,up,expression,Factor8,0.2831410204178113,0.025843545201694195
PHACTR3,0.0781738000487403,-0.0781738000487403,down,expression,Factor6,0.2193709009714754,0.017149056949056128
PTPRH,0.0769364383395576,-0.0769364383395576,down,expression,Factor6,0.2193709009714754,0.016877615796085113
OMG,0.0684615004920731,-0.0684615004920731,down,expression,Factor6,0.2193709009714754,0.015018461044805182
BCAS1,0.0681049027188159,-0.0681049027188159,down,expression,Factor6,0.2193709009714754,0.01494023387000133
PNMA2,0.0680497736301936,-0.0680497736301936,down,expression,Factor6,0.2193709009714754,0.014928140152160518
PTPRN,0.0674667823453202,-0.0674667823453202,down,expression,Factor6,0.2193709009714754,0.014800248828739324
SFTA2,0.0645307418578746,-0.0645307418578746,down,expression,Factor6,0.2193709009714754,0.01415616698171965
DMBT1,0.0644789343966327,-0.0644789343966327,down,expression,Factor6,0.2193709009714754,0.014144801932269972
SOX2,0.0637994231473273,-0.0637994231473273,down,expression,Factor6,0.2193709009714754,0.013995736937289593
GAL3ST1,0.0624879290700019,-0.0624879290700019,down,expression,Factor6,0.2193709009714754,0.013708033299927966
ARSL,0.0624119627437403,-0.0624119627437403,down,expression,Factor6,0.2193709009714754,0.013691368498492467
CTSE,0.062343433063302,-0.062343433063302,down,expression,Factor6,0.2193709009714754,0.01367633508075143
ATP1A3,0.0618795363965293,-0.0618795363965293,down,expression,Factor6,0.2193709009714754,0.013574569651003838
SOX21,0.0613491460738664,-0.0613491460738664,down,expression,Factor6,0.2193709009714754,0.013458217448054725
CLDN18,0.0608979781843052,-0.0608979781843052,down,expression,Factor6,0.2193709009714754,0.013359244341632286
SYT5,0.0608823732183406,-0.0608823732183406,down,expression,Factor6,0.2193709009714754,0.013355821066189003
TMEM151A,0.0605620920919735,-0.0605620920919735,down,expression,Factor6,0.2193709009714754,0.013285560706933694
