ensembl_id,symbol
ENSG00000186081,KRT5
ENSG00000205420,KRT6A
ENSG00000168878,SFTPB
ENSG00000186847,KRT14
ENSG00000176153,GPX2
ENSG00000128422,KRT17
ENSG00000106541,AGR2
ENSG00000086548,CEACAM6
ENSG00000129824,RPS4Y1
ENSG00000162896,PIGR
ENSG00000157765,SLC34A2
ENSG00000186832,KRT16
ENSG00000171345,KRT19
ENSG00000089356,FXYD3
ENSG00000185479,KRT6B
ENSG00000229807,XIST
ENSG00000163993,S100P
ENSG00000124102,PI3
ENSG00000171401,KRT13
ENSG00000124664,SPDEF
ENSG00000105388,CEACAM5
ENSG00000185303,SFTPA2
ENSG00000129514,FOXA1
ENSG00000102837,OLFM4
ENSG00000160862,AZGP1
ENSG00000148346,LCN2
ENSG00000175793,SFN
ENSG00000136872,ALDOB
ENSG00000178363,CALML3
ENSG00000165215,CLDN3
ENSG00000171346,KRT15
ENSG00000181449,SOX2
ENSG00000184292,TACSTD2
ENSG00000173702,MUC13
ENSG00000099834,CDHR5
ENSG00000164266,SPINK1
ENSG00000211896,IGHG1
ENSG00000131095,GFAP
ENSG00000153822,KCNJ16
ENSG00000132698,RAB25
ENSG00000081277,PKP1
ENSG00000160180,TFF3
ENSG00000165376,CLDN2
ENSG00000189334,S100A14
ENSG00000102854,MSLN
ENSG00000267795,SMIM22
ENSG00000167656,LY6D
ENSG00000131771,PPP1R1B
ENSG00000198074,AKR1B10
ENSG00000257017,HP
ENSG00000185686,PRAME
ENSG00000134240,HMGCS2
ENSG00000137975,CLCA2
ENSG00000065618,COL17A1
ENSG00000137648,TMPRSS4
ENSG00000134184,GSTM1
ENSG00000132692,BCAN
ENSG00000127324,TSPAN8
ENSG00000163631,ALB
ENSG00000138079,SLC3A1
ENSG00000101076,HNF4A
ENSG00000189143,CLDN4
ENSG00000188257,PLA2G2A
ENSG00000123560,PLP1
ENSG00000106278,PTPRZ1
ENSG00000142515,KLK3
ENSG00000265190,ANXA8
ENSG00000189377,CXCL17
ENSG00000096088,PGC
ENSG00000129451,KLK10
ENSG00000204385,SLC44A4
ENSG00000175084,DES
ENSG00000275410,HNF1B
ENSG00000171747,LGALS4
ENSG00000117983,MUC5B
ENSG00000135480,KRT7
ENSG00000052344,PRSS8
ENSG00000211892,IGHG4
ENSG00000137699,TRIM29
ENSG00000196188,CTSE
ENSG00000211677,IGLC2
ENSG00000206075,SERPINB5
ENSG00000187908,DMBT1
ENSG00000243955,GSTA1
ENSG00000134757,DSG3
ENSG00000211592,IGKC
ENSG00000171557,FGG
ENSG00000105707,HPN
ENSG00000160182,TFF1
ENSG00000211897,IGHG3
ENSG00000122852,SFTPA1
ENSG00000137731,FXYD2
ENSG00000101443,WFDC2
ENSG00000169469,SPRR1B
ENSG00000124107,SLPI
ENSG00000211895,IGHA1
ENSG00000089199,CHGB
ENSG00000118137,APOA1
ENSG00000103534,TMC5
ENSG00000123500,COL10A1
ENSG00000100604,CHGA
ENSG00000211679,IGLC3
ENSG00000147689,SACK1A
ENSG00000073282,TP63
ENSG00000264230,ANXA8L1
ENSG00000119888,EPCAM
ENSG00000143556,S100A7
ENSG00000196611,MMP1
ENSG00000131746,TNS4
ENSG00000134762,DSC3
ENSG00000162366,PDZK1IP1
ENSG00000241351,IGKV3-11
ENSG00000121742,GJB6
ENSG00000239951,IGKV3-20
ENSG00000123838,C4BPA
ENSG00000196616,ADH1B
ENSG00000196754,S100A2
ENSG00000211675,IGLC1
ENSG00000167751,KLK2
ENSG00000163435,ELF3
ENSG00000137673,MMP7
ENSG00000211893,IGHG2
ENSG00000251546,IGKV1D-39
ENSG00000006611,USH1C
ENSG00000167183,PRR15L
ENSG00000110195,FOLR1
ENSG00000188959,C9orf152
ENSG00000170465,KRT6C
ENSG00000167653,PSCA
ENSG00000189001,SBSN
ENSG00000211890,IGHA2
ENSG00000163586,FABP1
ENSG00000140519,RHCG
ENSG00000069011,PITX1
ENSG00000125462,MIR9-1HG
ENSG00000169562,GJB1
ENSG00000091513,TF
ENSG00000107159,CA9
ENSG00000002726,AOC1
ENSG00000127831,VIL1
ENSG00000075461,CACNG4
ENSG00000138207,RBP4
ENSG00000133169,BEX1
ENSG00000145423,SFRP2
ENSG00000104833,TUBB4A
ENSG00000184012,TMPRSS2
ENSG00000012223,LTF
ENSG00000164434,FABP7
ENSG00000140279,DUOX2
ENSG00000171560,FGA
ENSG00000130294,KIF1A
ENSG00000081479,LRP2
ENSG00000113889,KNG1
ENSG00000178919,FOXE1
ENSG00000230937,MIR205HG
ENSG00000182795,C1orf116
ENSG00000211598,IGKV4-1
ENSG00000108244,KRT23
ENSG00000277586,NEFL
ENSG00000211899,IGHM
ENSG00000066405,CLDN18
ENSG00000101210,EEF1A2
ENSG00000171234,UGT2B7
ENSG00000099812,MISP
ENSG00000143217,NECTIN4
ENSG00000106927,AMBP
ENSG00000167644,C19orf33
ENSG00000134258,VTCN1
ENSG00000171564,FGB
ENSG00000160678,S100A1
ENSG00000188910,GJB3
ENSG00000242076,IGKV1-33
ENSG00000243466,IGKV1-5
ENSG00000169894,MUC3A
ENSG00000173467,AGR3
ENSG00000229314,ORM1
ENSG00000058085,LAMC2
ENSG00000042832,TG
ENSG00000173432,SAA1
ENSG00000184363,PKP3
ENSG00000145692,BHMT
ENSG00000104413,ESRP1
ENSG00000270550,IGHV3-30
ENSG00000211949,IGHV3-23
ENSG00000104112,SCG3
ENSG00000148735,PLEKHS1
ENSG00000163207,IVL
ENSG00000188488,SERPINA5
ENSG00000135373,EHF
ENSG00000211666,IGLV2-14
ENSG00000113924,HGD
ENSG00000181143,MUC16
ENSG00000187957,DNER
ENSG00000184221,OLIG1
ENSG00000164825,DEFB1
ENSG00000147588,PMP2
ENSG00000196136,SERPINA3
ENSG00000124253,PCK1
ENSG00000144035,NAT8
ENSG00000178934,LGALS7B
ENSG00000136155,SCEL
ENSG00000196091,MYBPC1
ENSG00000064787,BCAS1
ENSG00000013588,GPRC5A
ENSG00000083307,GRHL2
ENSG00000148053,NTRK2
ENSG00000125851,PCSK2
ENSG00000105664,COMP
ENSG00000244116,IGKV2-28
ENSG00000095932,SMIM24
ENSG00000066813,ACSM2B
ENSG00000130287,NCAN
ENSG00000183747,ACSM2A
ENSG00000132465,JCHAIN
ENSG00000170373,CST1
ENSG00000263639,MSMB
ENSG00000148702,HABP2
ENSG00000163209,SPRR3
ENSG00000134873,CLDN10
ENSG00000167757,KLK11
ENSG00000145824,CXCL14
ENSG00000247627,MTND4P12
ENSG00000241794,SPRR2A
ENSG00000158874,APOA2
ENSG00000248144,ADH1C
ENSG00000244437,IGKV3-15
ENSG00000114638,UPK1B
ENSG00000086570,FAT2
ENSG00000168484,SFTPC
ENSG00000171885,AQP4
ENSG00000162078,ZG16B
ENSG00000185559,DLK1
ENSG00000170421,KRT8
ENSG00000169903,TM4SF4
ENSG00000094755,GABRP
ENSG00000079112,CDH17
ENSG00000144339,TMEFF2
ENSG00000134193,REG4
ENSG00000205927,OLIG2
ENSG00000165828,PRAP1
ENSG00000125999,BPIFB1
ENSG00000211653,IGLV1-40
ENSG00000166589,CDH16
ENSG00000167755,KLK6
ENSG00000135744,AGT
ENSG00000170786,SDR16C5
ENSG00000143546,S100A8
ENSG00000161798,AQP5
ENSG00000019102,VSIG2
ENSG00000165443,PHYHIPL
ENSG00000105048,TNNT1
ENSG00000060718,COL11A1
ENSG00000132746,ALDH3B2
ENSG00000105523,SACK1E
ENSG00000141579,ZNF750
ENSG00000139540,SLC39A5
ENSG00000084674,APOB
ENSG00000166415,WDR72
ENSG00000151632,AKR1C2
ENSG00000137440,FGFBP1
ENSG00000169862,CTNND2
ENSG00000262406,MMP12
ENSG00000111319,SCNN1A
ENSG00000087250,MT3
ENSG00000211662,IGLV3-21
ENSG00000007062,PROM1
ENSG00000235142,LINC02532
ENSG00000124429,POF1B
ENSG00000198643,FAM3D
ENSG00000169594,BNC1
ENSG00000253755,IGHGP
ENSG00000169035,KLK7
ENSG00000129654,FOXJ1
ENSG00000170477,KRT4
ENSG00000180745,CLRN3
ENSG00000147676,MAL2
ENSG00000159166,LAD1
ENSG00000211660,IGLV2-23
ENSG00000153086,ACMSD
ENSG00000169174,PCSK9
ENSG00000151655,ITIH2
ENSG00000116299,ELAPOR1
ENSG00000211673,IGLV3-1
ENSG00000254709,IGLL5
ENSG00000150625,GPM6A
ENSG00000167165,UGT1A6
ENSG00000170099,SERPINA6
ENSG00000010438,PRSS3
ENSG00000117472,TSPAN1
ENSG00000130226,DPP6
ENSG00000198914,POU3F3
ENSG00000187048,CYP4A11
ENSG00000118271,TTR
ENSG00000074211,PPP2R2C
ENSG00000166840,GLYATL1
ENSG00000102109,PCSK1N
ENSG00000174827,PDZK1
ENSG00000080493,SLC4A4
ENSG00000198758,EPS8L3
ENSG00000114455,HHLA2
ENSG00000171431,KRT20
ENSG00000197444,OGDHL
ENSG00000211663,IGLV3-19
ENSG00000148798,INA
ENSG00000159184,HOXB13
ENSG00000129354,AP1M2
ENSG00000143320,CRABP2
ENSG00000163501,IHH
ENSG00000211955,IGHV3-33
ENSG00000211659,IGLV3-25
ENSG00000211947,IGHV3-21
ENSG00000170370,EMX2
ENSG00000047457,CP
ENSG00000256612,CYP2B7P
ENSG00000184956,MUC6
ENSG00000171124,FUT3
ENSG00000172061,LRRC15
ENSG00000134339,SAA2
ENSG00000211651,IGLV1-44
ENSG00000166535,A2ML1
ENSG00000049283,EPN3
ENSG00000132437,DDC
ENSG00000170561,IRX2
ENSG00000163331,DAPL1
ENSG00000138271,GPR87
ENSG00000166923,GREM1
ENSG00000180818,HOXC10
ENSG00000211959,IGHV4-39
ENSG00000280411,IGHV1-69D
ENSG00000149948,HMGA2
ENSG00000229415,SFTA3
ENSG00000180210,F2
ENSG00000140297,GCNT3
ENSG00000057149,SERPINB3
ENSG00000109072,VTN
ENSG00000129988,LBP
ENSG00000145113,MUC4
ENSG00000211945,IGHV1-18
ENSG00000115386,REG1A
ENSG00000122585,NPY
ENSG00000211644,IGLV1-51
ENSG00000178372,CALML5
ENSG00000183036,PCP4
ENSG00000145192,AHSG
ENSG00000171759,PAH
ENSG00000171517,LPAR3
ENSG00000137077,CCL21
ENSG00000172005,MAL
ENSG00000179913,B3GNT3
ENSG00000155066,PROM2
ENSG00000183347,GBP6
ENSG00000170091,NSG2
ENSG00000211648,IGLV1-47
ENSG00000189280,GJB5
ENSG00000156222,SLC28A1
ENSG00000221932,HEPN1
ENSG00000131400,NAPSA
ENSG00000125285,SOX21
ENSG00000156413,FUT6
ENSG00000116147,TNR
ENSG00000211966,IGHV5-51
ENSG00000062038,CDH3
ENSG00000198848,CES1
ENSG00000184486,POU3F2
ENSG00000135100,HNF1A
ENSG00000100095,SEZ6L
ENSG00000136352,NKX2-1
ENSG00000167749,KLK4
ENSG00000230076,RPL10P6
ENSG00000163216,SPRR2D
ENSG00000177108,ZDHHC22
ENSG00000134398,ERN2
ENSG00000228278,ORM2
ENSG00000112936,C7
ENSG00000203697,CAPN8
ENSG00000145920,CPLX2
ENSG00000104760,FGL1
ENSG00000148826,NKX6-2
ENSG00000163220,S100A9
ENSG00000224373,IGHV4-59
ENSG00000160886,LY6K
ENSG00000103449,SALL1
ENSG00000166126,AMN
ENSG00000139352,ASCL1
ENSG00000204128,C2orf72
ENSG00000211668,IGLV2-11
ENSG00000129151,BBOX1
ENSG00000125618,PAX8
ENSG00000140254,DUOXA1
