,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
TCGA-19-1787-01,-2.3289920635317523,-0.17457453565186323,-1.1713202200478303,0.5694588303346616,4.090873216035542,0.08515008514834646,0.03906735115376547,4.008867909198478,-1.967036354969691,1.3190759486610724,-0.4405927836248002,-4.242327122485477,-1.5966581373120277,2.3503678214423323,3.090969616162417,-0.9166308001805953,-0.13101169513691674,0.8349997053121299
TCGA-S9-A7J2-01,-3.002421552244901,-0.28172566759972756,-1.8462982934973793,-2.6100909381647033,1.3970031242811827,-0.3554831732918219,1.2418271659122444,3.016866272124557,-2.411206629520435,0.8617129217188647,3.0669081250415906,-5.029048629740991,-0.8104868507672878,4.518470787694361,2.280927094952488,-5.560302224488072,-0.031295648446211376,1.3044680698466085
TCGA-EK-A2RE-01,-1.118219554259475,0.24147074508771468,-1.7638114957021487,-4.216181793572381,0.1832588578167913,-3.586183678151017,-6.179599926877817,7.312015798636743,-1.3108501879754,1.344805946358104,-1.904840772700512,4.072314904478471,2.793907624314969,0.4412740248411068,-0.38862439231837903,5.79829114095756,-1.7229537084046684,0.038733289288207844
TCGA-44-6778-01,-0.990166264238091,6.698495445793383,3.3664112389007497,1.1479276090951487,3.8709345735697562,-5.105892924636406,1.9822287481662775,-1.9424701846493473,4.2452549440168905,0.33626087232710844,1.8857961390774989,-0.13148515799812624,0.10586908666514198,-7.053020789124646,0.5371959185148372,-0.7592001471408526,1.8009504381393866,-0.64288161687069
TCGA-F4-6854-01,0.1592156291432876,-3.9397609289646542,0.02133822080176923,1.2853436641039626,-3.662619395925959,-0.7169131873384825,5.803841807123484,3.8025400811620957,0.3156545917531783,3.8576046562112447,-4.344939095487399,0.15980896115924503,-2.880050366874008,-1.8626790035853575,-0.6319014816412611,1.0916196651686119,-1.6129024328479658,-0.11617830405861722
TCGA-C8-A1HL-01,-2.440078342535649,-6.704292315260729,-4.8059713379419655,-1.010511960104622,1.4270998999645725,-3.3372609182194304,1.4560509070316299,-1.1402276550675148,-1.750330462917094,-1.9844573256602933,-0.8974573454186571,1.9749145846586964,-1.2502456832093647,1.5980757276340352,-5.066294735191741,4.728244829373146,-3.1230353239178887,-0.7276746381685638
TCGA-EW-A2FS-01,2.4190417746354713,-2.445223775447972,-3.372224634009689,1.1209572136894688,4.945778449136818,-3.0673313771469415,1.4067461409269584,-5.600239529781657,0.9010512893678627,0.09000351723377434,0.6031339597900818,-0.7670979510946268,-0.7884182001132933,2.61400484523894,-4.629557368470282,1.2632288645026113,-2.498923692571425,-0.3971604820170893
TCGA-IR-A3L7-01,-1.6293875590845683,0.048037639291200744,-1.3764670173039455,-3.116188109607924,-0.3777655793354152,0.6823569251317971,0.1173262759039169,6.5477743450334405,-3.8393851410860296,0.397619630503479,-2.2147131012762453,4.966134563696645,2.3894905873229026,1.8350618902296134,0.9196051360822777,6.482845493191706,-1.306821726485131,-0.6975489854616209
TCGA-05-4420-01,4.888841166468964,-0.6959296945142401,0.49048695725451624,-4.218375104359025,-4.886867718336144,-3.388814379621962,1.7539553275714796,-6.3490683886931425,0.9926199901989436,-0.048168573071627835,2.0998615334632134,-0.46110029933012453,-2.5654354562769957,-3.44093416786773,-1.1611352502852086,-1.096455884894509,-0.23581871050141628,-0.12737714373066308
TCGA-R6-A8WC-01,-0.25895455558154346,-4.953723275085686,-0.48923341270772774,-1.235470261141679,-7.148696643521617,-4.194549068197554,3.143226061659111,3.297188876885518,-4.262766396859592,-1.9600106747319388,-2.5481156403303205,1.0685668563876087,-1.5475177959422366,-2.323274042289479,-3.8522503592958746,-1.1185553497281588,-1.8675607448936498,-1.2124476275591554
TCGA-DX-A3U8-01,0.12005774675532717,7.467681147987496,-1.2737334137182834,1.3792160220835568,-1.7821817035774696,2.384333408427764,-3.3096041807370997,-2.418635067601902,-1.759917170280984,-0.3175295258477535,0.11891121341077138,-2.962120493705391,-4.399527640215434,1.08096046904623,1.0358148392444126,-0.16777452205928337,-0.5395629707591472,-0.16120190680514407
TCGA-GL-8500-01,-3.048166283585168,-0.6686769521739013,-1.892444791443485,1.9209900315606758,-7.656443627440494,2.1087073665642704,-1.7973689822581165,-2.4672351304016598,-1.399783096676112,-0.4245679341008686,-2.941097704584594,-2.4862044477078693,5.572086520580419,0.37616491877954444,-0.03377365641255319,-0.09512451105683865,0.21240242784652538,0.06508047296031304
TCGA-BR-A4J6-01,-1.6814980531100134,0.0955881940880607,-0.9972992534138095,-0.7978163138488679,-0.4390715236200772,-4.670990867932478,3.3554901431085833,0.5558979949040742,1.1507343927851177,-0.697005806979377,-1.2476937640753403,2.3051238510866887,-0.3476376891526446,-2.5042405364086924,-1.8841417007702983,1.5302681143727006,-1.1041096276984357,-1.202266791498764
TCGA-EJ-7125-01,-2.84877218504243,5.974746371048953,2.181994565736423,-1.5925866507082689,0.8476656328846529,2.253426984415579,1.9690468394900733,-3.2432730925161786,-4.986486011491373,-2.172446174012457,3.156119428519603,1.8255286122239807,1.2628883140410618,-1.6037002425477878,2.8688973033788874,3.780898342845094,-0.917955023979724,-2.5406573666063306
TCGA-IN-7808-01,-0.02276778595852587,1.6576050675068432,3.6204173082135083,2.436037796233475,2.168762592040798,0.35218474883453965,2.766794124784257,-0.37677235471961024,3.102466264210308,-1.3852451783438586,-0.4217415043810062,-1.8922017797297666,-2.030194080890163,-3.004928516781622,0.1296857222589759,0.5245703142998507,-0.5350555907733071,-1.3397936230958287
TCGA-L5-A4OH-01,-2.8728318473130536,-6.591422857053278,1.9927572709169572,3.900126402275779,0.8338659427454027,-4.638523955066587,-0.6884683257178584,7.175187979604351,-1.8000209327971788,1.4483826549010521,-5.042824245094088,-0.5494293204795443,-1.2812684214504224,-4.0632257682287625,-6.403990975969282,6.547995708723398,9.390849719698101,-1.3567052602894272
TCGA-AX-A3G6-01,2.357847508645883,7.702884437094261,-8.200204599222982,3.761628386493379,3.1574027196953525,-2.3759146646919955,-0.45551803798375684,-3.3833041027978035,-2.3135551265185033,-1.2970842687286348,-1.4181025008882178,-0.8394335689196061,-0.32885935199113386,-2.9381500742162707,-1.3177609809557198,-0.8938310548201858,-1.2661677894637051,-1.2733911889221723
TCGA-B9-A8YH-01,-0.037934366945193046,0.7839553054373951,-4.510013855264439,6.325908188679401,-5.022674222151178,2.015927037962403,-0.4442612140625775,-2.133926951849081,-2.225463874962628,-1.453976959730687,-2.9815359078228245,-1.9944935739396699,6.080264951186322,1.6931538526956185,0.49893180892224875,-2.362956027686245,0.6666363938586547,0.03777520859287186
TCGA-E1-A7YI-01,-4.74185059097727,-1.1696754326676384,-2.5059975360940308,-2.5432944093154637,2.017585489249938,-4.236625973412306,-2.574046067185917,2.4840037661932555,-3.7888115839219454,1.5750915589924428,1.967754923580649,-6.60930291659433,-0.06665054097461097,6.595844061988143,0.24881701796013755,4.344955810435974,10.379472373527623,-0.040321722084539754
TCGA-PC-A5DM-01,-7.582163714970457,2.397243664012795,-0.2438236388961031,5.508249119882006,8.098784315983403,0.3064026352504006,-1.8992593659777732,4.426023725169273,-2.154714904283756,5.355107938333827,-3.0365409102922993,-1.20271747511733,-2.6979084307495027,-5.9662874747522485,0.8239118254119028,11.49965011447894,5.01281322173473,-2.1516572115337596
TCGA-BR-A4QL-01,-1.3998745069848557,6.419540795599693,2.9451316699993555,1.6340157908938509,-3.5087208054901358,0.772258869132091,1.8883863296787196,2.8002308008936914,-2.799902542713254,1.5547622233876834,-2.349807397103329,-1.6082186808391354,-3.633183107302086,-7.272142623653095,-2.28785644913988,2.427733193501258,-1.3170167064343674,-1.574042477933996
TCGA-CH-5751-01,5.93738969175636,-1.8437223292825267,3.936951659904483,-1.7090228230756845,-1.0816468378913116,-2.5224214350956613,2.839629742605155,-9.48657904411906,-1.3693917821854882,1.5706114619192806,4.0514660055175735,-0.5937256154793435,-0.899323105528411,-0.6734684760598314,4.539548344819905,-4.780877730779426,-6.98184307986692,9.380526075133247
TCGA-A2-A3XX-01,-1.1998543025373745,-3.875529458032447,7.3680902225473455,-2.3900942091150315,4.922312141000865,-3.7102654578078273,-1.4678791241409521,-2.413319159983434,3.7764226904228537,0.5888661887505106,-1.1554862876849927,-0.3467628808049125,1.839753511668346,0.5461296039701229,-2.5526301717336124,0.2276961898078171,-0.16602272722768588,0.733511808149794
TCGA-DQ-5624-01,7.141224893178909,-4.643746667033489,1.0100839633290095,-5.009227990815808,-1.2850756459555432,0.843362142092335,-4.006201882776246,1.9653267766603364,2.3114919688894893,4.328183171660405,0.22504609322628974,0.3107723646473443,1.5133216839421215,1.5930348175604954,-0.47681790362495663,-3.8013778515491565,-0.2170155395197634,2.5478465602931277
TCGA-KK-A7B3-01,1.5463394777015937,-2.819508271170017,-3.8555091065388427,-0.9476723988692951,0.9594668407035685,2.298500648462204,3.965005547272033,-4.811220417218714,-5.39232021682608,-3.016643102487921,4.913610162535774,2.769831573936594,3.015938805306014,-3.28113247035357,4.209125802182382,0.014143652951957748,-1.6233914060487107,11.999731377961629
TCGA-DQ-7591-01,1.1285683624645855,1.5366935627892302,-4.629561322232458,-2.6060695654689505,0.47518538503858476,0.6584469992166401,-1.1736297113351073,1.2495592230738695,4.1188615895739105,-0.32594343011472093,0.25267544307650686,0.5853364485325069,0.07463359597311206,-1.3187333698699681,1.7256256349895236,3.172509415512062,-1.1009290061224868,-0.8120332886009883
TCGA-06-5412-01,-2.888243045343426,-0.3058027224198457,-1.846123353934555,-1.7686634515398776,1.4340628997044977,-4.026322256580802,-1.7616239207065096,-0.09354251329143226,-1.582303249733708,-0.049158674479862524,2.817449932888881,-3.832460595585382,-0.28329577983196813,2.2539410559865876,-0.1726531013751822,-5.539894945997096,-0.47443564367395763,0.9373266377414409
