,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
TCGA-19-1787-01,-1.9131543611254924,-0.8480671948400809,-1.1290729637332986,4.145028992365881,0.9385273723983371,-0.28875494496239995,3.0729050209801496,-0.6057485782802025,0.25564491776013626,-0.25541379342299114,-0.3663413416096872,0.22776503502482934,-0.8986483966578418,-5.672730062553353,-1.6231302748455554,-1.5652704227904635
TCGA-S9-A7J2-01,-2.1406136214926064,-0.8988363309003489,-1.4215051029655745,-0.5954340393123864,0.8973391928512072,-0.3245835429289273,0.433783490314089,-0.31922446765114404,0.020257187921491532,-0.08570769718143081,-0.1623348744123823,0.24553771723004816,-0.05828393263202434,-0.4096894774972485,0.41096651679288865,0.32821262882261676
TCGA-EK-A2RE-01,-2.1465020789583598,-0.902084692038423,-1.4533334317055397,-0.5912502635530662,-3.854528532823246,-0.2753493284931824,1.8821978539883737,-0.4492370181829658,0.3024180920052118,-0.2233971375020644,-0.40803935813008463,0.0693732253193178,-0.07430258428072392,-0.47271231535072933,-4.172063898514874,-4.0946011981333825
TCGA-44-6778-01,-3.58454637282012,5.679534388612479,2.4227607063947794,3.9392190676216967,-4.031873434853334,0.4299350540205729,-3.3044678052020773,0.14586819764921616,0.34116363679769324,2.6205182446984874,-0.4869831909351634,0.01954154608781129,0.3271058444667442,1.7717671641270303,0.007604391206191296,0.1075312312126714
TCGA-F4-6854-01,0.5525654292466472,-4.37803004613083,-0.40753976048179913,-1.203556588848443,1.1520182518896405,2.481366547903585,4.521656458395407,-0.8434144153109755,-0.9014894567803523,-0.394716249557199,-0.48202119884059175,0.34479134913703585,-0.34302289611199815,-0.5990863079941597,1.2396230489294704,0.27755795017045326
TCGA-C8-A1HL-01,-0.41596884520014726,-7.413947179144335,-5.019852515336365,-0.39648488371650065,-3.715533632626475,-1.0196916687011224,0.7311499454490659,-1.0503663868644588,0.15740363841132646,-0.4465479525203926,-0.4635656121523877,0.20247004025829785,-0.35592065722107324,-0.5102766812667112,0.47242499345570077,0.22416340932442327
TCGA-EW-A2FS-01,3.638620536852145,-1.6554665839438698,-3.3787825709373287,3.2447365905619368,-3.462648834464717,1.9225502323207333,-3.138027472630736,-0.8621422349667969,0.5816765697690857,4.6425942557342905,-0.7228994229895557,0.39910180750430585,-0.4880397501925565,-1.6087531096601233,0.26142304890015794,0.5264995766469994
TCGA-IR-A3L7-01,-2.12900036243646,-0.8568610868092754,-1.497438179178253,-0.5906452005078132,0.9281114099156001,-0.3056260464903027,4.446231606125235,-0.4486309681581743,0.20717401215141087,-0.08755820192328752,-0.2279031641839629,0.21092475113428164,-0.0674705991248295,-0.3858958829819881,-5.816396413806641,-5.656434999255955
TCGA-05-4420-01,4.280995594846106,0.8884332677967609,0.5315554820452729,-7.0509946591429005,-3.399023193761161,4.8517442376080515,-3.271650696000781,-0.9198851233507961,-1.8484496469102547,1.805410420978811,-0.6473009885716124,0.38735192607440116,-1.6848885607290722,1.6049162824787897,0.9506167507542208,-0.8542413208074197
TCGA-R6-A8WC-01,0.5413102507784086,-5.195447313136294,-0.7794777073964079,-5.9624324323687095,-3.630880905902385,-2.3429785674830748,0.6549507455058977,-0.43093463311512975,0.33197248359912607,-3.3200876179370384,-0.35170887629315645,0.2117244602456099,-0.7957350998544264,-2.87952931775444,0.4151809707841564,-0.05366411349365241
TCGA-DX-A3U8-01,-1.0167765541303286,8.122240503572957,-1.0784415961614948,-1.0834515252599701,0.956241473378101,-0.196403294129567,0.4704344195898173,0.19102963981279683,0.3142611494698677,-0.37590585445855107,-0.18262525206704305,0.24242687091810058,0.4090622459639808,1.7759529471222333,0.41059141472088495,0.4608753961458918
TCGA-GL-8500-01,-2.4379664491997395,-0.9489847813175221,-1.7430375854803204,-5.31852930384196,0.8747085153293405,-0.29475188733723623,0.35159957991497764,-0.24660231182985984,0.026881928634473983,-0.021888851834419916,-0.03581685101595012,0.2323284415153335,0.051505899331262796,-0.2257231872919587,0.31248758302159424,0.06445555118665229
TCGA-BR-A4J6-01,-2.1551348237188517,-0.8990728756855579,-1.439430315171363,-0.5913177752743687,-3.8656119792342776,-0.2552237798584089,-0.7283056065742124,-0.49860364470439955,0.2786282829849502,-3.0887091501769057,-0.45315753965921723,0.08106884811525836,-0.10338168437985375,-0.3126816312808059,-2.0663204135806175,-2.0915645360199666
TCGA-EJ-7125-01,-3.904806740331901,5.617524378674092,2.1435893197195246,-0.7834629972179751,0.7485029575750265,0.46856162612665025,0.38253556553673557,0.20921459699369954,0.16658733292778108,-0.10111337783255575,-0.24904291171015933,0.11931162620155485,0.053571458092228005,-0.3407721323310748,0.28097582067874793,0.25517119157742957
TCGA-IN-7808-01,-0.7178343476166578,1.4282537701404707,3.4195976985954406,3.315148404677083,0.9994193331277028,-1.5883167190629357,-2.2984750910166247,-0.2662921629807261,0.5159374253460697,-6.017091054273942,-0.5684160995774628,0.2961122386271392,0.1303274765287024,4.753601226232787,-4.217834141859255,-3.9801290728376206
TCGA-L5-A4OH-01,-2.163433555031608,-8.202339072919917,1.5985467655193186,4.096420890694901,-3.8148364676977486,-1.0703184897145257,0.7654911330601919,12.674202850003054,0.8349352718512136,2.8357744071255673,-1.014451093158443,0.09037126809746494,-0.013766396092314195,1.9674777146154288,0.5747605648420164,0.2856200617692378
TCGA-AX-A3G6-01,0.9326525866791311,8.405660249609827,-8.539897274136562,4.177744616674151,-3.661863181180789,0.5206904382871786,-3.1862357827385908,-0.5940329445847733,0.47217675515643026,-3.591956993949096,-0.41311909644362366,0.17106065858524014,0.25466523043782213,-1.1835651470737303,0.1679068016464085,0.4317032551956896
TCGA-B9-A8YH-01,0.7156757115682254,1.606126835046704,-4.6594070632289375,-0.8872492215223117,1.1180319870021231,-0.9589400636224764,0.506087552959831,-0.4431460332574833,0.2620206987430552,-0.4219800898940702,-0.1276787316677998,0.3493460062924629,-0.050625365935759024,-0.8395823854513477,0.5458819575602094,0.47721919012678127
TCGA-E1-A7YI-01,-3.6342915539162184,-2.296911795153682,-1.5709414969542042,-0.16322812030279163,-5.500439642808074,0.6355507849669182,3.0934225596066707,13.745165952292124,1.1637596727844237,-0.10821101951299528,13.334504945036569,-3.903870388993137,-0.1777580518922861,-2.9098984779451964,4.448758485732868,3.645828497922709
TCGA-PC-A5DM-01,-8.103862360572954,-0.29278888659565355,-0.9464692167658599,10.274885558644264,0.4364856503344929,2.7181584554375133,3.3175397407869553,8.449172060505227,1.309139562734335,0.6310941276447891,-0.9775962192693897,-0.02656417104684126,1.001834929314709,5.035389920620543,-9.055697168057554,-5.9470912504517885
