,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
TCGA-19-1787-01,-5.1679477198616155,-2.6451190178354747,0.3861294862185197,1.7794424658134835,0.7489547964104558,-0.4868570028740509,-0.04171275379898729,-0.01773732982552734,0.4555112346271866,0.16354891693110252,-1.6680870722394565,-2.2360037911085806,0.9043220197573687,0.440457283050138,-0.02367753698954862,-0.34424553180714274,2.8053631781211013,-1.3714707949587648
TCGA-S9-A7J2-01,-7.05847112501248,-3.7081607766423264,1.5365704902409543,4.066574769187822,0.3810122636746995,-0.37574532537964656,0.6046754527471037,0.3922812273119885,0.8708535689183843,0.9027487613594724,-2.1081568913953177,0.6628803561206646,-0.7184051748165344,-0.08596376158390169,0.40253241565403075,-0.2733470289340763,-2.203294500900126,1.3203588394770576
TCGA-EK-A2RE-01,2.414562635698941,-4.306562603078641,-6.742013816528227,1.3401750232684553,-3.372923711806986,-2.1962366395760378,0.7391736352958748,0.8225603780282242,0.14656941344714972,-0.806721502075589,-0.3728479713469089,-0.7720857235369968,-1.3318806504796334,-0.04882922560842357,-2.2540194358067818,-0.36868837433933804,0.047066385036993626,-1.630113643890949
TCGA-44-6778-01,0.9714958487362501,-0.07149487304521135,3.758114161808912,1.5512084421145274,4.481048956107164,2.6556627626071334,1.805670434769049,0.3073717963096211,-2.310951086055854,2.3720485355159524,2.711991296047173,1.3736780305835579,-0.6919496572946745,-2.558972900373325,0.051580934218948014,-0.6283658808656329,-0.38293458294947796,0.19769227149151916
TCGA-F4-6854-01,1.9218952005337973,3.2461860782818728,2.7218645024237413,3.266922888682435,-1.7421212224220468,-3.95731382695627,-1.7907608555400252,-2.977145203213701,-0.4537934931866212,-2.638021037207658,-1.4350249947250107,-0.21001253256953198,-0.7488088911840881,-2.352601290084381,0.4117886151614009,-1.9093079910743342,0.5064527331471852,-0.634300676129236
TCGA-C8-A1HL-01,0.5681523909987318,0.235030304585798,1.5735826888715987,-2.5616085608166617,-2.9241261667191054,1.2391168393235827,-0.6106104597716132,-1.1116275577371058,5.289526835672619,1.0068379846313422,0.10948303288822973,0.2224084723663696,-2.5987356151256344,-0.6872703568297722,0.07900833564183804,-0.37763593693373293,1.4035461209483377,0.03121671578464815
TCGA-EW-A2FS-01,1.7896133184344036,-0.6278086038567156,2.8453185173983635,-2.374138038364685,1.1195518981964463,3.543543272405107,-2.6003019087663763,-0.3683351215880423,4.000645818373451,-0.9015407364719173,-1.1259285972605424,1.3483157636714995,0.06015112735467965,0.40481922292524125,0.2128866443248165,1.528005671927704,1.2624385848436264,1.6320353646872794
TCGA-IR-A3L7-01,1.623527069280875,-2.3079472602655438,-2.7670608367890153,1.0480919887817322,-5.792062865088765,-2.522840952792878,2.4887288535993553,1.5905649548647682,1.029667399394479,1.2881276082206925,1.402838982506097,-0.5389461596649292,-0.7337290080461605,0.3077643219128441,3.1351345124453447,1.9980847766066039,2.738830825104741,-1.5294066911426187
TCGA-05-4420-01,2.2221230888455135,0.4507715182652762,2.414013938485084,-0.4105462036738116,2.5312288568641317,0.6205748796910898,1.650086836215654,-1.232567427153702,-0.8174228447378362,5.491831489785206,0.5419157005685378,0.502267634219821,-0.12040602958609885,-1.4214643360226644,-1.4773515551508896,-1.5104103638408997,0.07883572592555174,-1.4359227428581116
TCGA-R6-A8WC-01,0.8027370715333497,3.140098247471508,0.7984221839103959,2.644570167367836,-5.568083378290411,-5.474914738823283,1.0131508918171392,-2.100556849215813,1.9593604484405973,0.40080870339425995,-0.2912856201103222,0.32710653507449766,0.6433682192930688,-1.7682851067069434,0.38350180517256205,0.11547954529291987,-0.3962952279560388,1.1906147382767145
