,Factor1
TCGA-19-1787-01,6.970906140685387
TCGA-S9-A7J2-01,-3.3557404101164123
TCGA-EK-A2RE-01,-3.2784105246431436
TCGA-44-6778-01,8.457481354085898
TCGA-F4-6854-01,2.4739676595834923
TCGA-C8-A1HL-01,-2.839165798629874
TCGA-EW-A2FS-01,-1.9283267572507423
TCGA-IR-A3L7-01,-2.951291844820428
TCGA-05-4420-01,3.595752379348706
TCGA-R6-A8WC-01,0.18737295278868973
TCGA-DX-A3U8-01,-3.0264177084602113
TCGA-GL-8500-01,-2.7040030980857224
TCGA-BR-A4J6-01,-2.1411511212670544
TCGA-EJ-7125-01,-3.307032989772189
TCGA-IN-7808-01,-1.3659301662896564
TCGA-L5-A4OH-01,1.1123866145956225
TCGA-AX-A3G6-01,-0.05629541388908026
TCGA-B9-A8YH-01,-1.5074305655498386
TCGA-E1-A7YI-01,-2.3565518632764677
TCGA-PC-A5DM-01,-1.7929924633631202
TCGA-BR-A4QL-01,17.343756533038583
TCGA-CH-5751-01,-2.0238007173753516
TCGA-A2-A3XX-01,-1.762276472098306
TCGA-DQ-5624-01,0.0634710831076667
TCGA-KK-A7B3-01,-3.1474796481651124
TCGA-DQ-7591-01,-2.176159160957754
TCGA-06-5412-01,-2.954816515419702
TCGA-BP-4989-01,-2.6566410187489464
TCGA-EJ-8468-01,-1.9021964093384238
TCGA-CZ-5459-01,-1.2407933283003074
TCGA-D5-5538-01,1.5981454813944573
TCGA-56-8305-01,5.93688551015359
TCGA-4X-A9FA-01,-2.9771064676510735
TCGA-DD-AAW0-01,-0.1926138628149255
TCGA-AA-3511-01,0.22970072430259075
TCGA-Z7-A8R5-01,-3.1042958674491357
TCGA-39-5031-01,7.816396609037561
TCGA-ZG-A8QW-01,-2.7992682077187525
TCGA-DU-7302-01,-2.7340414019055985
TCGA-DJ-A3UX-01,-3.230896184431611
TCGA-EI-6512-01,1.2260778569931245
TCGA-J4-A83K-01,-2.5889242322790844
TCGA-HZ-7922-01,-1.565692670401259
TCGA-DD-AACA-01,-0.6683722878605427
TCGA-QG-A5YX-01,0.21517095228484495
TCGA-ZG-A9MC-01,-2.520230389671046
TCGA-BR-8372-01,10.884917703859351
TCGA-HC-7742-01,-2.66671869504907
TCGA-64-1679-01,9.184615000333606
TCGA-CV-5976-01,-1.074663532162675
TCGA-2G-AAFZ-01,-3.4561709218932606
TCGA-LN-A4MQ-01,-0.24768921095979027
TCGA-CV-6948-01,1.1128246385280665
TCGA-K7-AAU7-01,-1.9948122001165005
TCGA-CJ-6028-01,-2.760027224984846
TCGA-B6-A0RL-01,-2.7479083039378542
TCGA-CZ-5456-01,-2.243939415076331
TCGA-EL-A3D0-01,-3.226967978408551
TCGA-EM-A22Q-01,-3.1630837265554015
TCGA-49-6744-01,4.1958954270473425
TCGA-L5-A4ON-01,0.6301731399847849
TCGA-ZN-A9VU-01,-2.6172605161169895
TCGA-Q3-A5QY-01,-3.4561709218932606
TCGA-AJ-A3BI-01,-1.9796825178285011
TCGA-W2-A7UY-01,-3.4561709218932606
TCGA-E3-A3E2-01,-3.3869082808926256
TCGA-FB-A545-01,-0.5895242890148392
TCGA-G4-6320-01,13.994037717682415
TCGA-55-6982-01,1.4306664568483256
TCGA-RC-A7SH-01,-2.2358762422028393
TCGA-CC-A3MA-01,-1.8685736745684556
TCGA-RC-A7SB-01,-1.4629952965385589
TCGA-CM-6164-01,-1.0123676661718912
TCGA-ET-A3BW-01,-3.046027844313442
TCGA-E2-A2P6-01,0.22270873098831914
TCGA-VD-A8KF-01,-3.4561709218932606
TCGA-EL-A4JZ-01,-3.3869082808926256
TCGA-M7-A722-01,-1.736744704459519
TCGA-CV-A6K0-01,-2.664659947882365
TCGA-S6-A8JY-01,-3.061390752834194
TCGA-AO-A1KT-01,-2.307431773384553
TCGA-N9-A4Q1-01,-2.1324320816836617
TCGA-12-5299-01,-2.9852457864510757
TCGA-BJ-A0ZJ-01,-3.4561709218932606
TCGA-P5-A5EX-01,-3.196590391473371
TCGA-DJ-A4V2-01,-3.0494944382602176
TCGA-HT-8563-01,-2.9007213677655805
TCGA-J8-A3O2-01,-3.3869082808926256
TCGA-E9-A3HO-01,-1.6900958340612935
