,expression,mutations,cnv
Factor1,0.060884607999064255,0.060884607999064255,0.060884607999064255
Factor2,0.006575775893801872,0.006575775893801872,0.006575775893801872
Factor3,0.006837196034692461,0.006837196034692461,0.006837196034692461
Factor4,0.05783899065607623,0.05783899065607623,0.05783899065607623
Factor5,0.02220663933670408,0.02220663933670408,0.02220663933670408
Factor6,0.008172058149442107,0.008172058149442107,0.008172058149442107
Factor7,0.04661224669580899,0.04661224669580899,0.04661224669580899
Factor8,0.032144890569392515,0.032144890569392515,0.032144890569392515
Factor9,0.05148590593210245,0.05148590593210245,0.05148590593210245
Factor10,0.0030266174624565823,0.0030266174624565823,0.0030266174624565823
Factor11,0.04304776424885981,0.04304776424885981,0.04304776424885981
Factor12,0.05251427388648877,0.05251427388648877,0.05251427388648877
Factor13,0.02229430482097816,0.02229430482097816,0.02229430482097816
Factor14,0.021198241768660364,0.021198241768660364,0.021198241768660364
Factor15,0.025004024762286692,0.025004024762286692,0.025004024762286692
Factor16,0.036373935369282906,0.036373935369282906,0.036373935369282906
Factor17,0.0025370172881034048,0.0025370172881034048,0.0025370172881034048
Factor18,0.0013355280404623304,0.0013355280404623304,0.0013355280404623304
