,expression
Factor1,0.1708490379900669
Factor2,0.08566470410994098
Factor3,0.054404737049175034
Factor4,0.04742591980480937
Factor5,0.03995895636726832
Factor6,0.03546129115368957
Factor7,0.026541318545935555
Factor8,0.024677319678260812
Factor9,0.017698411514736834
Factor10,0.013714995443987021
Factor11,0.012166877637334927
Factor12,0.009459901940874205
Factor13,0.009090087008506886
Factor14,0.0084008010704415
Factor15,0.007260794261811254
Factor16,0.00640947031657757
Factor17,0.004120333932114639
Factor18,0.004716931990203621
