,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
CDKN2A,-0.047689546086385724,-0.0002898569496119263,0.006877154479197924,0.01426688210938465,-0.000620697397769622,0.19487192504839737,0.07191443151669445,-0.005223263880834613,0.01994536734395764,-0.007619774395862924,-0.0006772393055667606,0.00039352439157644577,-0.006459656922180573,0.0003836813596234699,0.023344611851377973,0.0013265980875844772,0.000275761302881185,-0.008867581272806267
CSMD1,-0.1460828841817875,0.19455863323744044,-0.024132816279358038,0.014626546920604592,4.5866581026935424e-05,0.00016040838086806442,0.01640717661399239,0.0014804091468648285,-0.0008368647239073533,-0.04255149234277465,-0.002228023996979245,-0.0005633042334181886,-0.0032686376621022433,-0.01384415884963546,0.0008258939485063328,0.006227672210942835,-0.000145615691836807,0.04818643148577631
C9orf53,-0.047664959485840645,-0.0003927056134633932,0.006596578005721559,0.014093934043471364,-0.0008087455541643622,0.19549116588660437,0.07178626280171624,-0.004876032161124001,0.020296083347964063,-0.007727999339476993,-0.0003236051696010567,0.00037805152612350323,-0.007227833175490361,0.0004635382504154635,0.024001307382689647,0.0023212644421478795,0.0002937279256636167,-0.008467097453797806
CDKN2B,-0.045916436994920914,-0.00019287647689215175,0.006407461667203353,0.013387572859257018,-0.0008823160431290579,0.1974924921853942,0.06897684722625959,-0.0010491859661658184,0.020290289196018375,-0.0068383038844610205,-0.00042549496258772096,0.0012254435280099865,-0.004280157959842153,0.0004930034616545481,0.022330469389895198,0.0013703277552193805,0.0003110262931503655,-0.007550483676905919
WHSC1L1,-0.012644188065924275,0.1664580578031996,4.0282578752372705e-05,-0.009262736095388625,0.00994792815599431,-0.00032789304220137336,0.015968051835438053,-0.0763694533543304,-0.04110530743104494,0.22553255006497455,0.010983443401258262,0.02719898383189137,0.024941729394744473,0.0005611424273815838,-0.0003281723705039336,0.009313521450523096,-0.023007930045248082,0.023618812846614635
MTAP,-0.04026960322310118,-0.0003076219890650204,0.0053966064802146285,0.009214773424687116,-0.0030963154429823263,0.20459636707727777,0.06348767630494108,0.005633595098491048,0.023989199044454797,-0.00383671304513257,0.0011147479092110538,0.0013652008473025033,-0.0020815085716044857,0.0004983575109032523,0.02089903068169585,0.0045838012185907455,0.0018085543470659662,-0.006808656093475398
FGFR1,-0.013627931110123595,0.16691493338058566,-9.351494583492587e-05,-0.00873133170387372,0.010772452435300443,-6.95033000085452e-05,0.01656127340222391,-0.07607044925057685,-0.039780949863559005,0.2258953729885084,0.010971975263297035,0.027283704584060844,0.025531054701944236,0.0008019377212323272,-0.00022225030767493857,0.007889718103393298,-0.023846682666107732,0.023455106847763557
LETM2,-0.012530705387969342,0.16689445290909383,-5.9302793303262005e-05,-0.009051205882210174,0.010343185843493643,-0.0004870423229388238,0.015757199424250374,-0.07577040172564886,-0.04082369339159991,0.2262286629662077,0.010864184119909779,0.02756510368710955,0.02563485884389506,0.0007756461072361035,-0.0002254427758937848,0.008640232128313448,-0.022179274311122946,0.023158008911793773
DDHD2,-0.01577227321641515,0.16745188835357222,-3.4223026693349267e-05,-0.009674664082383542,0.011268463323055335,-3.8898041929345005e-05,0.015793810742960053,-0.07710000334715851,-0.039743969426526284,0.22347533741714518,0.012964425327513525,0.02666990359030664,0.0258743890744097,0.0016326454777354843,-0.0008695387358232786,0.010023981199727137,-0.022938546347565477,0.022287061952993483
C8orf86,-0.013885422462671266,0.16754409498278755,-0.00013904429633729103,-0.008514395089565786,0.010973354608684881,-9.290622593304869e-05,0.017282567955008956,-0.07689192694098167,-0.03982627811062403,0.22489732463409481,0.011364776912866113,0.02748347540753692,0.024483855665539594,0.00031403636279011844,-0.00027833224258762247,0.007707463175789506,-0.023027711344860594,0.02328748031243296
