,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
CDKN2A,-0.04882857684262144,-0.009141805790255985,0.0024747252473845617,0.0013114840140193876,0.23167879544407496,2.4774370038956227e-05,4.7529113060841314e-05,-0.0009641684437661492,3.078872610408932e-05,-0.030057692528378484,0.00019135226343499864,0.1740872020218933,0.0007486559641075106,-0.00040600377121624695,-0.0014081883287876433,-0.0008767369890766614
CSMD1,-0.19323673917634482,0.14627690586856126,-0.03475777338297272,0.013671881201599078,-2.3369242940818334e-06,-0.0333804724563178,-5.03153185334581e-07,-0.0022179316352171114,-0.04205778521123389,-0.017062990976503066,0.0001615009711177274,2.8946369791090493e-06,-0.004210504650243018,-0.0013734005811395387,-0.011478761730050155,0.01380721288372328
C9orf53,-0.04869801619554805,-0.009439693559281022,0.0022190980948518426,0.0009156441378762111,0.23246608954008205,-1.115555245471414e-05,0.00010098397631799304,-0.0006561275872498831,1.8820927413988344e-05,-0.029399100609662086,0.00027896757699665355,0.17413900767903892,0.0006241122795662689,-0.0002679990906071306,-0.0022096795472518493,-0.0012721383298838049
CDKN2B,-0.047646602114208556,-0.00818933568193782,0.001875999995353507,0.0010451973319696246,0.2348059437669317,-5.6433095255914925e-05,6.169404037161071e-05,-0.0009606380269748931,1.0430573531344882e-05,-0.028315972436568446,0.0001306819417964688,0.17586322728838122,0.0014184358952055115,-0.0006335310968254534,-0.00038615432567221916,-0.0005963432988337963
WHSC1L1,-0.0651768827604646,0.14954461957673007,5.372468529535031e-05,-0.00040271411881868436,-5.339338478787749e-06,0.23308962184331536,3.185838680811569e-07,-0.003966898323397689,-0.020750982975884406,0.00021688905383536808,1.2188318160631697e-06,-6.278095715394658e-07,-0.1786174260172455,0.028389030846392153,0.018061316602338996,-0.015159204160102682
MTAP,-0.04327166179962875,-0.00711914408727144,0.0011513581466459858,7.30737913324183e-05,0.2454449683916351,-7.207686653195934e-05,5.4059472347037574e-05,2.717202896299247e-05,4.378726241178891e-05,-0.016739141730979668,9.936477428001224e-05,0.1928983286036165,0.0003455563603112792,-1.8025349908316017e-05,-0.0008404861018441841,-0.0003900446797992587
FGFR1,-0.06612325032390311,0.14957231471268256,-3.0681733176731586e-05,-3.5402398434963825e-05,-4.327605882803816e-08,0.23196701563674113,9.23683449437153e-08,-0.005421615305727667,-0.020501918053613167,2.9966445866095507e-06,1.619014508819459e-05,-6.872524162117305e-06,-0.172056064689053,0.02745380275364574,0.019447445061737855,-0.016411569430193885
LETM2,-0.06514101889529544,0.14986357742969325,-7.749640077719785e-06,-8.764310871485277e-05,-7.497732161738925e-06,0.23262658204604095,4.810678472446137e-07,-0.0034679731860414115,-0.020135422193234175,4.612299641167012e-05,6.949032476841071e-06,-9.409829498323375e-07,-0.17617963311818186,0.027331508138636013,0.01896644285592261,-0.014229637831425291
DDHD2,-0.068317468825463,0.14967869574071635,-4.8955703876212585e-06,-0.0002412051534945482,1.349685600092898e-06,0.23191480590461086,-2.1923017773981446e-06,-0.0040077605884448995,-0.01982528077415577,0.0017857975301176165,8.739888742398027e-05,-8.20204175557572e-08,-0.18606942271115726,0.027536688258008674,0.017188160754612637,-0.01628409128853048
C8orf86,-0.06642172437511644,0.15003728118880766,-6.273890946535285e-05,-3.193499758991282e-05,-9.948001643791418e-07,0.2306526036228372,-2.2742628488462857e-07,-0.00470658488689465,-0.020278703510033844,1.4641625981489155e-06,1.9385616316287798e-05,-4.944485265694868e-06,-0.1642693869051453,0.02794742300904813,0.018261081192919727,-0.015171468892099846
