,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
KRT5,0.15256931164005016,0.02162047297587752,-0.026276271777578523,-0.12183681084569288,0.07087675085271194,0.013757265743282225,-0.08664290223151808,0.06950192376268621,0.024034974725855043,0.010614327554989807,0.0496649236823803,0.06621292702790123,0.11186224684751708,0.004811414154382318,-0.015955264716121853,0.06621960880828727,-0.025457851540140276,-0.006599586999013504
KRT6A,0.15655226242125528,0.031579474487806236,-0.025873982891770238,-0.09659099460596132,0.015930912776091464,-0.013923121959702555,-0.11488012607878523,0.12869112375284877,0.0556350901072755,0.03441860516575256,0.01689092807286073,0.06107065720978278,0.09502151956241502,-0.010352758343541118,-0.0036409191070680266,0.02271295897901025,0.009327501121679016,0.001782490119347632
SFTPB,0.03644483395594678,0.005505271353958909,0.004387295756011587,-0.021621434065616625,0.026385114039882043,-0.01673977456014808,-0.005245476202889264,-0.0800270801742188,0.08592241204051253,-0.010744194327625918,-0.02663654816080286,0.13759518660635214,-0.012610531407437028,-0.07897576023646846,0.061370276028721346,-0.07132815350270613,0.08927815747860215,-0.0019389843839725132
KRT14,0.13598228564995402,0.016276661142221573,-0.014410335489219415,-0.1115125868857058,0.0585220448101975,0.018487249718109205,-0.10587598643486512,0.07773116560896769,0.018809328992389948,0.010096481116032466,0.04506610295213378,0.06109530068619086,0.10294419730559821,0.029677785831497088,-0.039284429651699926,0.07478743311100183,-0.024570539637058828,-0.0006190162278681456
GPX2,0.12638396052862244,0.033749651835833984,0.028530616090009366,0.049380901389997754,-0.06291603244833999,-0.05630023320395013,0.051876315499313604,0.13678421278684658,0.009111397949209296,0.031612881063293886,0.04075806190981453,0.10097832983538589,-0.00019782507143666856,-0.0328128068812004,-0.033896421619959344,0.017437389341216226,-0.02440974975984395,-0.012175537283127702
KRT17,0.16734346489946647,0.02320886447229737,-0.0145270825928612,-0.10097408558444888,0.04035195017622916,-0.003218859288245969,-0.028740663318435937,0.08841016747515226,0.018828560579294436,0.006808875653708734,-0.019826725698831153,0.09999606721659172,0.12196957078317609,-0.002199160523054493,-0.036218225930160476,0.049937622590876966,-0.011596395642808316,-0.006045028389457204
KRT16,0.1666411372968304,0.029975166605544022,-0.014229072158334088,-0.09524563796909304,0.03653755514433799,-0.010804261584263968,-0.09049500401582126,0.1300271500005266,0.036495393379081566,0.022425841090642957,0.01285305181958365,0.06305559599669665,0.0951578629246508,0.00603503522386422,-0.0478712320603453,0.03932003048462312,-0.0034560233375775266,0.005114717566702444
RPS4Y1,-0.0020526688630623496,-0.005334917672564938,-0.000828296064480544,-0.002333953959905503,-0.018469078244804284,-0.012455990933906938,-0.004535330105807924,0.007183143102281171,-0.02007775093035822,-0.008041804772837148,0.05964207740747217,-0.0007346963203291412,0.044449373466499895,-0.051261371866571315,0.10802634490874898,0.0080891617617811,-0.00016549513418109786,-0.014651424679142037
CEACAM6,0.09750643471235808,0.026006182706700617,0.03789983538558855,-0.04281625402065023,0.011673629216417042,-0.05349074376373321,0.12011040041606703,0.08465898652633626,0.03317695329814283,0.011829157251645852,-0.05602279630011575,0.09513969251362665,0.002326809790364854,-0.020239838331492906,-0.10155013539015538,-0.0067822429516464855,-0.008871765103842803,-0.008569408776298226
AGR2,0.08191234816433503,0.0102031598940174,0.04028325626034932,-0.04056978766979857,0.032418076667371794,-0.019150891154438576,0.169739036825484,0.0021076937753217915,-0.0460677661785454,-0.02470775635068177,-0.05202372388194916,0.13643928913806694,0.01077677477992005,-0.025678155739373217,-0.10434825803073916,0.03677673725559107,-0.03693754538378394,-0.021322032635254284
