,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
KRT5,0.1882778209889373,-0.2106554255618871,-0.12949289547000986,0.010534467663395535,-0.04615366715299319,0.06609764466431915,-0.0207989842406432,0.0979040869030039,-0.005720167026438021,-0.031756886007358015,0.011928398316555873,-0.0200360809202538,0.037643400114416865,-0.010634510598370395,0.0005152373597398342,0.07962291252217357,-2.8737949990617733e-05,0.12012065545727205
KRT6A,0.18690462524996235,-0.1797761274210609,-0.188034111123941,0.09427205408317862,0.011645971802898895,0.006684100282643818,0.01429815720510408,0.05190352348275103,-0.01495350722756777,-0.015569475088057602,0.0473020654091399,-0.03216207275436733,-0.004343327717398617,-0.02138883207693399,-0.04954964806097656,0.034159303951538524,-0.0294749422816647,0.029791762687805184
SFTPB,0.08648384335183296,-0.00013959020823364898,0.05037374600898099,-0.04779917299903308,0.14196312185863721,0.01676612061232649,0.24055241086338877,-0.0016954926805274352,-0.07423765951589129,0.14678110946630593,0.07079784280996322,-0.06322025040761482,-0.053158509368609226,-0.12588380871563806,0.019743971576288415,-0.06451280372447056,-0.01684299565884058,-0.007088833220907296
KRT14,0.16807899459131256,-0.19322210050124616,-0.1514708008444372,1.2438306168351344e-06,-0.049929032307837566,0.06849316906784285,-0.0297945602529449,0.08456647869296002,0.02300362698975049,-0.08368460480013934,-0.015305804166045281,-0.04551042942023719,-0.023460001417676957,-0.00042668293493320286,-0.04014675472527995,0.048440855373516944,-0.0004502814101852158,0.0886122834788111
GPX2,0.20547141982944886,0.0549560424587959,-0.05634418035587,0.2118574047538819,-0.10314032159274625,0.018448944423980033,0.01810815527710274,-0.05850891714334231,-0.041843143157500096,0.00014305867600552182,0.01766296077122156,0.04374714398317809,0.03749564642708479,-0.03843157010541948,0.13510804990557684,-0.02332199513506973,-0.0012046679147778357,-0.015310334419574276
KRT17,0.24885757488463844,-0.15663753685893383,-0.08499386079678237,0.04437290188040355,-0.05732038408122751,0.00032778682106939975,0.013339458427424932,0.09009524763934072,0.013320966208686443,-0.029597801565734334,0.050404584327143946,-0.0207635783968103,0.07313126017583821,0.05431994740824969,-0.01728371560736224,-0.006999929679182014,0.005016839641077478,0.09030838604517727
KRT16,0.2078897880236575,-0.17892794666062023,-0.1634044434792969,0.08569999176793765,-0.02169496112866266,0.02143662736614037,0.0001704444029317524,0.05007108408793009,0.038931305458125356,-0.01989238523492531,0.0358327420247741,-0.028765378029186026,0.00022191001825626813,0.04549589575486972,-0.05482030001879354,0.025567683273098496,-0.018201334403444645,-7.312354611576761e-05
RPS4Y1,-0.01572588851576175,1.8063956547151904e-07,-0.0008834506515588661,0.031608125303425744,-0.0539503671865795,0.017252672661718763,-0.033231114688799974,0.062290148903375586,-0.17231627045954054,0.00011475064412282,0.0006497148003297519,-0.046710836904286346,0.024846811540178405,0.022405832840079243,0.03797580024823988,-0.06741424170805672,-0.03876282441766951,0.04483653475379841
CEACAM6,0.22850322442822013,-0.021005923354274054,0.09278976809804837,0.13603281890929658,-0.04164073393768517,-0.03609999076435952,0.07586921167305806,-0.06548070862067602,0.06780618562603906,0.06580696396619035,0.04818273623198475,-0.01700249215001008,-0.10594064872250168,-0.06363536508969216,-0.0009156585642346595,-0.023838081283597073,0.010650999231394538,-0.03117522633193887
AGR2,0.23266137757734906,0.008816619947947581,0.1783879163116174,0.021303698960216326,-0.14098681636043975,-0.008756004956123572,0.08136132219505708,-0.02088430081264963,0.040384588861164715,0.02703041925871007,-0.005701159969666904,0.001207763891557547,-0.07147100884228542,0.0005713263026698234,0.024679802965771273,0.00014005751265072763,0.013593266454477152,0.013707939228589773
FXYD3,0.26922834581969524,-0.09635697954974436,0.05589687080845555,0.07189827960538275,-0.15713833086347032,0.023185191023420662,-0.004640071008886477,0.02391680881364527,0.031019894435510967,0.04261513171060222,-0.03737832489889944,0.03431173985132134,-7.666255116240592e-05,0.011327697426868956,0.010049348017043921,-0.04213991043166081,0.020343969635987506,0.018662617717665017
