,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
TP53,0.28207687271715676,4.278200320513155e-07,0.04532407233557676,-0.056225050740193065,0.00024028032711574424,-0.11054446663630958,0.03523958406592445,0.13203976599258865,-2.2026682359453615e-05,0.09227536735530718,2.602908235039791e-05,-0.10181313499274966,-0.05246647380108554,-0.03752006126155282,-1.126954728621874e-05,-0.012588204249952164,0.06327100496840794,0.0003909217846835921
TTN,0.1591315265111503,1.4846695250042174e-06,3.518771818082936e-06,2.4262542383229328e-06,-0.03217030916031851,-0.05182165102493981,0.027168565098296512,0.09051555667446697,6.188178329518319e-05,0.06654104128151037,1.1275767259928024e-05,-0.07331535102798996,-0.024096243300458967,-0.1556462653182224,-1.7484815738809175e-06,0.043835148745846056,-0.00025408315468572777,-7.877880305982967e-09
MUC16,0.08431370397024401,1.7203846971100987e-08,3.992705494748791e-06,5.870005973047584e-07,-4.614381481639901e-05,-0.00012392671740610884,0.026594706930453207,0.04376108561407541,2.3727741492476035e-06,0.027400561969021565,3.859856396034649e-05,-0.04137828879679014,-0.03701994425603194,-0.11338006256458592,-2.4989214664929046e-06,0.01966949899806143,-6.735580344161571e-05,-2.1647087156447286e-07
PIK3CA,0.042017571675009274,2.7077820730556984e-05,-8.522871550822561e-06,-0.014831919864631699,0.012037705705210814,0.00011948297515018486,0.04253880760661606,0.0299736160674437,-6.4091974640987425e-06,-5.915544535231426e-07,-2.7281585038328057e-06,-0.030685557855416892,-0.013207040069607944,0.02303816493866744,-0.13656086939102385,0.038148229646265984,-0.06934323859614436,-1.226499067089513e-07
CSMD3,0.09729190481087509,1.67335828748539e-05,9.582771517274717e-05,-4.439785165472543e-06,-1.4303248524397742e-06,-0.025086954215678515,0.0005291512480518639,0.01833488050308131,0.0014614941541376805,0.0005547919039031611,2.6436299422853854e-05,-0.028347034109105083,-0.018958383373441322,-0.10542611830671789,1.407579487662059e-07,0.009226042431469201,1.6816558233897547e-06,-5.899974123314167e-07
RYR2,0.06778615053813318,1.3024301072932607e-07,2.088280027904679e-05,-1.1950164548085682e-05,2.6848403569132527e-06,-0.01749285851733506,0.0022987697669315348,0.019080966967511236,4.610712976309344e-05,0.013876323330143223,1.4018679894435678e-05,-0.023462584723772776,-0.0270859258770475,-0.09992372336439334,-4.961132399496023e-08,0.015584145991244903,-0.00019780211597299153,5.072748266823044e-09
LRP1B,0.07091697499330112,6.40032511227073e-06,2.0691675763002605e-05,-1.1468357874312472e-06,-1.5537419848207535e-05,-0.0003926539487926001,0.0049260402509503825,0.02802476884723387,5.5130799738472436e-05,0.0006213807481352216,4.218677103525098e-06,-0.025509895984782333,-0.028226718634384706,-0.10553158671886376,-3.2397608186085665e-08,0.015923676260627167,-1.376945568986767e-05,-7.070700524246893e-07
SYNE1,0.06273419245466383,2.2388691336510787e-06,-2.6292130663359277e-07,-1.6911012761603095e-05,-0.0011118304708319258,-3.5152644721751184e-05,0.022135803988741393,0.04606353641603522,-3.6202423850815293e-07,0.034429306644878435,-1.1915958430602844e-05,-0.0266448523614527,-0.02701057377653292,-0.06870006382005163,-9.408975741977779e-07,0.024275909986864273,-0.0005069986149307025,-1.5232799733973176e-07
FLG,0.05294458900562862,5.119688804125245e-08,0.00012349677327829064,2.1045817732722906e-06,1.1599314469198345e-05,-0.004208527586424942,0.0005633422147424069,0.03116264197837681,3.113972418429987e-06,0.00011747023222961206,-6.148254500324436e-06,-0.029516360683254958,-0.026979601399632548,-0.06814682198864304,-1.1706183057469684e-06,0.01484677952594195,-7.674927537686371e-06,-8.036837145278528e-07
USH2A,0.06472000550922419,3.2431599760467746e-07,1.4802222815220682e-05,-4.4963033663287015e-06,2.8637047143202503e-07,-9.170855212996279e-05,0.0006461612830814122,0.012480167834878085,0.0022228555166856324,9.174384844402999e-05,1.1130128354841074e-05,-0.025246084709305734,-0.01711665510624893,-0.08496576627522143,1.0107077420018694e-06,0.013821153581749233,-8.769344917057635e-06,-2.548353818447295e-07
