,Factor1
TP53,0.10377758751229393
TTN,0.31938285003530803
MUC16,0.17595433760035037
PIK3CA,0.04860658684169774
CSMD3,0.1383615585307538
RYR2,0.13492957339956962
LRP1B,0.12971514367025072
SYNE1,0.11426246681286681
FLG,0.09269908497891019
USH2A,0.11138176080588404
KMT2D,0.08229718153126996
ZFHX4,0.11407506468872301
PCLO,0.09572735869516281
SPTA1,0.08364773594267705
KMT2C,0.07100800340285326
OBSCN,0.08513094285265072
HMCN1,0.07684393621301493
DNAH5,0.08131801117383333
CSMD1,0.07767685511197138
FAT3,0.08151848374932828
XIRP2,0.08953664794169323
KRAS,0.015824517760782468
FAT4,0.08398185542637575
RYR3,0.08865097886511017
MUC17,0.07293799670693604
ARID1A,0.06206000240189752
RYR1,0.07736167992976792
PCDH15,0.07761850834697251
APC,0.047858475656933165
APOB,0.07734975864658522
DMD,0.06478352015354162
GPR98,0.07403870145794754
NEB,0.07413413125018256
FAT1,0.06646205284644405
ABCA13,0.07101385311210447
LRP2,0.07025537016771867
DNAH9,0.07430394606377619
PKHD1L1,0.07461903257198807
AHNAK2,0.0734532269180231
BRAF,0.0171634163526921
NAV3,0.06834456146678354
IDH1,6.190940669455749e-05
ATRX,0.035073314393272104
SYNE2,0.07863291368761192
CUBN,0.06623073483251271
DNAH8,0.07032968853649527
COL11A1,0.06563180445773178
MUC5B,0.07078179856852503
DNAH11,0.07327771868259636
PKHD1,0.0577637370179286
RELN,0.06994301725327544
PTEN,0.032245262598883564
ANK2,0.07119330758802765
AHNAK,0.06340995452246757
DNAH7,0.06279518211456611
DST,0.06574525296816386
FAM135B,0.056625690264339286
CSMD2,0.05873605618974259
HERC2,0.07134454260814149
PAPPA2,0.054634917037867506
CACNA1E,0.06290056032876026
SI,0.06115183835710332
NF1,0.049041993882653845
ZNF536,0.059946637061737376
HYDIN,0.05388859130887936
TENM1,0.06449656917527816
ATM,0.049679106351406155
HUWE1,0.05179463964905189
PLEC,0.05130922475875247
LAMA1,0.05612693972606918
COL6A3,0.057437528935947994
DNAH3,0.06460027319320973
SACS,0.061962331224422566
MACF1,0.05813971284040538
FMN2,0.0479969443016871
FBN2,0.05730974538584136
KIAA1109,0.05592106228956688
BIRC6,0.05657716894765516
DCHS2,0.06332631564997082
GPR112,0.057991840136467326
CNTNAP5,0.056216630490164426
LAMA2,0.06253387110340423
PCDH11X,0.0498681555886675
FCGBP,0.057523845135418805
VPS13B,0.061667538497112685
TG,0.05794896272465803
LRRK2,0.04971115299709099
FAT2,0.05384543611649605
COL22A1,0.05292797472035878
ANK3,0.06139422962995814
MDN1,0.05916373049219728
CDH10,0.05771745261904029
PEG3,0.052665168782430015
PRKDC,0.05261017210790857
ADAMTS12,0.049240082838170676
UNC13C,0.051708351486734624
RP1,0.047353537981390484
MXRA5,0.05427515627396272
DNAH10,0.0626557665117612
ASPM,0.05612096121741132
DNAH17,0.05706777372670862
COL12A1,0.054851457393089546
C1orf173,0.052443934786462476
NRXN1,0.05131372656992339
NOTCH1,0.02844462692589313
BAI3,0.05011906336736768
LRP1,0.048821373767161495
NALCN,0.04745154890998633
MYCBP2,0.055909389892480885
PXDNL,0.050266753505012945
FRAS1,0.05158289226307119
PTPRD,0.047258482268735115
VCAN,0.05207936395183203
RNF213,0.058492147916349164
THSD7B,0.045093809875437776
PBRM1,0.02656672993580986
PDE4DIP,0.05680617017569733
CDKN2A,0.016668432937725425
FBXW7,0.03129669288076617
FREM2,0.04918854820457034
HRNR,0.04364411629868191
PLXNA4,0.05024509980209525
SDK1,0.04846482517390726
DNAH2,0.05431452808357713
DOCK2,0.05183709401523452
RB1,0.027997002039706943
ZNF804A,0.05356834531280168
LRRC7,0.049609585227766886
TENM3,0.054279203343423135
SPHKAP,0.039712854625100914
MYH2,0.0442408631118038
PRDM9,0.04396701411081966
TNR,0.04877940316618975
CNTNAP2,0.047110449736206775
RIMS2,0.05375703513065413
ZNF804B,0.039058786704763995
TRRAP,0.05138607533996828
WDFY3,0.04564840605875761
EYS,0.0435023096692123
NBEA,0.0516951687142025
UBR4,0.04563761121350657
CREBBP,0.04223476546359193
DSCAM,0.04817015923001134
MUC4,0.03679526222514405
SETD2,0.03637132767902629
HERC1,0.04979421786538953
SCN1A,0.04603400601766604
ZFHX3,0.055365514219086504
DCC,0.04750725494752159
AKAP9,0.0467539570023713
SVEP1,0.04915507272238214
DYNC1H1,0.049427935514336434
NPAP1,0.04155362316425395
TAF1L,0.03913160830900111
ALMS1,0.048180313313608815
PCDH10,0.04389832803910496
COL6A6,0.042289005121353564
FLG2,0.04615909856377793
FLNC,0.047558160384275586
RP1L1,0.05055230941781479
MKI67,0.04686601596333265
PRUNE2,0.05010099097199374
SRCAP,0.04965632475352808
UNC79,0.0529597025975278
TPTE,0.04709336615762776
VPS13C,0.053187382853628264
HCN1,0.03884165426511614
LYST,0.048998839305378364
MROH2B,0.048277059522129066
ABCA12,0.04868464186610706
BRCA2,0.04751938341233141
MYH7,0.04612220994765098
MYH8,0.049508885781082236
EP300,0.03636824158808512
ERBB4,0.04442967808066945
LPHN3,0.04318558808744671
SORCS1,0.042186600574565615
USP34,0.050821237993308066
DYNC2H1,0.048543932857047466
KMT2A,0.04225886705638946
NIPBL,0.046163478264836195
