model,feature,mean_abs_shap
ftt,MOFA_Factor1,0.24546010775617863
ftt,MOFA_Factor2,0.014340726039123359
ftt,MOFA_Factor3,0.04254202220664839
ftt,MOFA_Factor4,0.0219280109999848
ftt,MOFA_Factor5,0.05172958846453426
ftt,MOFA_Factor6,0.23707477329955218
ftt,MOFA_Factor7,0.04505442456302106
ftt,MOFA_Factor8,0.2814310762211053
ftt,MOFA_Factor9,0.07837188181067312
ftt,MOFA_Factor10,0.07467506018195753
ftt,MOFA_Factor11,0.048437447279092466
ftt,MOFA_Factor12,0.10699698764374478
ftt,MOFA_Factor13,0.04227345287748742
ftt,MOFA_Factor14,0.05523361315853114
ftt,MOFA_Factor15,0.13635287949020683
ftt,MOFA_Factor16,0.03522109925056792
ftt,MOFA_Factor17,0.07671514285535938
ftt,MOFA_Factor18,0.07038593112323789
ftt,CT_adrenocortical cancer,0.002569646221883596
ftt,CT_bladder urothelial carcinoma,0.018860665000454215
ftt,CT_brain lower grade glioma,0.00806199898543281
ftt,CT_breast invasive carcinoma,0.11984319626126401
ftt,CT_cervical & endocervical cancer,0.011737347407204222
ftt,CT_cholangiocarcinoma,0.006898159013586119
ftt,CT_colon adenocarcinoma,0.012629107699597353
ftt,CT_diffuse large B-cell lymphoma,0.0002477945229401551
ftt,CT_esophageal carcinoma,0.018286781281680993
ftt,CT_glioblastoma multiforme,0.08744350116897327
ftt,CT_head & neck squamous cell carcinoma,0.03333788862839864
ftt,CT_kidney chromophobe,0.01150201919113569
ftt,CT_kidney clear cell carcinoma,0.005336651868860159
ftt,CT_kidney papillary cell carcinoma,0.021455212196656803
ftt,CT_liver hepatocellular carcinoma,0.014137749278317253
ftt,CT_lung adenocarcinoma,0.041970680634780905
ftt,CT_lung squamous cell carcinoma,0.03087448567681826
ftt,CT_mesothelioma,0.014090184143426027
ftt,CT_ovarian serous cystadenocarcinoma,0.0006775359781051476
ftt,CT_pancreatic adenocarcinoma,0.02375644428331593
ftt,CT_pheochromocytoma & paraganglioma,0.03101051140481139
ftt,CT_prostate adenocarcinoma,0.12991741747410834
