gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
TP53,expression,0.11961429129820798,0.04580474661078815,5,"up,down",TSG/gain-of-function,DNA damage response,Gene therapy / p53 reactivation (APR-246/eprenetapopt); MDM2 inhibitors.,Yes
TTN,expression,0.07160231126120697,0.02584040009880548,4,"up,down",Unknown,Unknown,Passenger mutator (large gene); hypermutation biomarker; not a direct target.,Partial
RLN1,expression,0.06426346894918974,0.06426346894918974,1,up,Unknown,Unknown,Under investigation,Partial
RLN2,expression,0.06426346894918974,0.06426346894918974,1,up,Unknown,Unknown,Under investigation,Partial
INSL4,expression,0.06418039424962657,0.06418039424962657,1,up,Unknown,Unknown,Under investigation,Partial
PDCD1LG2,expression,0.06412326564654254,0.06412326564654254,1,up,Unknown,Unknown,Under investigation,Partial
CD274,expression,0.06411809569763732,0.06411809569763732,1,up,Unknown,Unknown,Under investigation,Partial
RCL1,expression,0.06402112526910574,0.06402112526910574,1,up,Unknown,Unknown,Under investigation,Partial
PLGRKT,expression,0.06401948242240954,0.06401948242240954,1,up,Unknown,Unknown,Under investigation,Partial
JAK2,expression,0.06389503441496708,0.06389503441496708,1,up,Unknown,Unknown,Under investigation,Partial
KIAA1432,expression,0.06389169759621276,0.06389169759621276,1,up,Unknown,Unknown,Under investigation,Partial
KRT16,expression,0.06387586002317362,0.03681601993316891,2,up,Unknown,Epithelial differentiation,Under investigation,Partial
KIAA2026,expression,0.06385868683619224,0.06385868683619224,1,up,Unknown,Unknown,Under investigation,Partial
IL33,expression,0.06384470221102,0.06384470221102,1,up,Unknown,Unknown,Under investigation,Partial
snoU13|ENSG00000252110.1,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
RN7SL25P,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
TPD52L3,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
RN7SL123P,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
C9orf38,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
GLDC,expression,0.06382826011547166,0.06382826011547166,1,up,Unknown,Unknown,Under investigation,Partial
